npc_id|npc_name|item_id|quantity|price_modifier|always_stock
A1B2C4|Marcus Blackwood|CMS002|48|1.0|True
A1B2C4|Marcus Blackwood|CMS003|20|1.0|True
A1B2C4|Marcus Blackwood|CMS004|5|1.2|False
A1B2C4|Marcus Blackwood|LGT001|10|1.0|True
A1B2C4|Marcus Blackwood|LGT002|30|1.0|True
A1B2C4|Marcus Blackwood|CMS001|15|1.0|True
A1B2C4|Marcus Blackwood|WPN004|3|1.0|False
A1B2C4|Marcus Blackwood|WPN008|5|1.0|False
A1B2C4|Marcus Blackwood|WPN001|0|1.0|False
A1B2C4|Marcus Blackwood|KEY001|3|1.0|True
B1C2D3|Robert Greystone|TLL001|5|1.0|True
B1C2D3|Robert Greystone|TLL002|3|0.8|True
B1C2D3|Robert Greystone|TLL003|2|0.9|False
B1C2D3|Robert Greystone|TLL004|4|1.0|True
B1C2D3|Robert Greystone|ARM001|2|0.7|False
B1C2D3|Robert Greystone|ARM002|3|0.7|False
B1C2D3|Robert Greystone|WPN005|1|0.8|False
B1C2D3|Robert Greystone|WPN010|1|0.8|False
B1C2D3|Robert Greystone|WPN011|2|0.8|False
B1C2D3|Robert Greystone|TLL006|6|0.9|True
B1C2D4|Yuki Moonwhisper|SPL001|2|1.2|False
B1C2D4|Yuki Moonwhisper|SPL002|3|1.2|False
B1C2D4|Yuki Moonwhisper|SPL004|2|1.1|False
B1C2D4|Yuki Moonwhisper|CMS005|4|1.1|True
B1C2D4|Yuki Moonwhisper|EQP001|3|1.0|True
B1C2D4|Yuki Moonwhisper|WPN009|1|0.9|False
B1C2D4|Yuki Moonwhisper|KEY001|1|1.1|False
D1E2F3|Hassan Brightmind|CMS004|8|1.0|True
D1E2F3|Hassan Brightmind|CMS005|6|0.9|True
D1E2F3|Hassan Brightmind|CMS006|3|1.0|False
D1E2F3|Hassan Brightmind|CMS003|10|1.0|True
D1E2F3|Hassan Brightmind|EQP001|2|0.8|True
D1E2F3|Hassan Brightmind|TLL003|1|0.9|False
E1F2G4|Priya Greenleaf|CMS004|12|0.8|True
E1F2G4|Priya Greenleaf|CMS005|8|0.8|True
E1F2G4|Priya Greenleaf|CMS006|5|0.9|True
E1F2G4|Priya Greenleaf|CMS001|6|0.7|True
E1F2G4|Priya Greenleaf|CMS002|10|0.9|True
E1F2G4|Priya Greenleaf|TLL008|2|1.0|False
F1G2H3|Thomas Goldweight|WPN001|2|1.1|False
F1G2H3|Thomas Goldweight|WPN002|2|1.1|False
F1G2H3|Thomas Goldweight|WPN003|1|1.1|False
F1G2H3|Thomas Goldweight|ARM003|2|1.0|False
F1G2H3|Thomas Goldweight|ARM005|2|1.1|False
F1G2H3|Thomas Goldweight|ARM006|1|1.1|False
F1G2H3|Thomas Goldweight|ARM008|3|1.0|False
F1G2H3|Thomas Goldweight|SPL001|1|1.2|False
F1G2H3|Thomas Goldweight|SPL003|1|1.3|False
F1G2H3|Thomas Goldweight|AMN001|20|1.0|True
H1I2J3|Isolde Ravenwood|TLL004|8|1.0|True
H1I2J3|Isolde Ravenwood|TLL001|4|1.0|True
H1I2J3|Isolde Ravenwood|TLL005|2|1.0|False
H1I2J3|Isolde Ravenwood|CMS003|8|1.0|True
H1I2J3|Isolde Ravenwood|EQP003|4|0.9|True
H1I2J3|Isolde Ravenwood|WPN008|5|1.0|False
H1I2J3|Isolde Ravenwood|WPN004|3|1.0|False
I1J2K4|Seraphina Cole|TLL004|6|1.2|True
I1J2K4|Seraphina Cole|TLL001|3|1.1|True
I1J2K4|Seraphina Cole|WPN008|8|1.1|True
I1J2K4|Seraphina Cole|WPN004|5|1.0|True
I1J2K4|Seraphina Cole|ARM001|3|1.1|False
I1J2K4|Seraphina Cole|EQP003|2|1.0|True
I1J2K4|Seraphina Cole|AMN001|15|1.1|True
